01:28	|R 2679	|V 36.7	|I 29.5	|W 1083	|TH 77%	|B 52%	|Wh 32	|T 33.1	|Pa 1294W	|Pi 34	
01:29	|R 2525	|V 36.5	|I 23.5	|W 856	|TH 80%	|B 52%	|Wh 32	|T 33.1	|Pa 1289W	|Pi 35	
01:30	|R 2584	|V 36.4	|I 39.4	|W 1435	|TH 82%	|B 52%	|Wh 32	|T 33.2	|Pa 1290W	|Pi 35	
01:31	|R 2629	|V 36.5	|I 38.6	|W 1409	|TH 82%	|B 52%	|Wh 33	|T 33.3	|Pa 1292W	|Pi 34	
01:32	|R 2656	|V 36.3	|I 39.0	|W 1415	|TH 85%	|B 52%	|Wh 33	|T 33.3	|Pa 1293W	|Pi 34	
01:33	|R 2651	|V 36.3	|I 39.6	|W 1437	|TH 83%	|B 52%	|Wh 34	|T 33.4	|Pa 1295W	|Pi 34	
01:34	|R 2692	|V 36.2	|I 39.2	|W 1417	|TH 86%	|B 46%	|Wh 34	|T 33.5	|Pa 1296W	|Pi 34	
01:35	|R 2698	|V 35.9	|I 39.5	|W 1416	|TH 88%	|B 46%	|Wh 34	|T 33.6	|Pa 1297W	|Pi 34	
01:36	|R 2723	|V 35.9	|I 39.3	|W 1409	|TH 88%	|B 46%	|Wh 34	|T 33.6	|Pa 1298W	|Pi 34	
01:37	|R 2787	|V 35.8	|I 38.9	|W 1391	|TH 89%	|B 46%	|Wh 35	|T 33.8	|Pa 1299W	|Pi 34	
01:38	|R 2776	|V 35.8	|I 39.1	|W 1398	|TH 90%	|B 46%	|Wh 35	|T 33.8	|Pa 1300W	|Pi 34	
01:39	|R 2822	|V 35.6	|I 40.8	|W 1452	|TH 90%	|B 46%	|Wh 35	|T 33.9	|Pa 1302W	|Pi 34	
01:40	|R 2835	|V 35.7	|I 40.2	|W 1434	|TH 90%	|B 46%	|Wh 36	|T 33.9	|Pa 1303W	|Pi 34	
01:41	|R 2843	|V 35.7	|I 39.8	|W 1419	|TH 90%	|B 46%	|Wh 36	|T 34.1	|Pa 1304W	|Pi 33	
01:42	|R 2857	|V 35.7	|I 39.7	|W 1417	|TH 90%	|B 46%	|Wh 37	|T 34.1	|Pa 1305W	|Pi 33	
01:43	|R 2829	|V 35.6	|I 39.5	|W 1404	|TH 90%	|B 46%	|Wh 37	|T 34.2	|Pa 1306W	|Pi 33	
01:44	|R 2822	|V 36.0	|I 38.5	|W 1384	|TH 88%	|B 46%	|Wh 38	|T 34.2	|Pa 1307W	|Pi 33	
01:45	|R 1336	|V 38.6	|I 14.6	|W 564	|TH 0%	|B 41%	|Wh 40	|T 34.4	|Pa 1300W	|Pi 34	
01:46	|R 13	|V 38.8	|I 0.0	|W 0	|TH 0%	|B 41%	|Wh 41	|T 34.0	|Pa 1300W	|Pi 34	
01:47	|R 1	|V 38.9	|I 0.0	|W 0	|TH 0%	|B 41%	|Wh 41	|T 34.0	|Pa 1300W	|Pi 34	
01:48	|R 1455	|V 38.9	|I 0.1	|W 3	|TH 85%	|B 41%	|Wh 41	|T 34.0	|Pa 1300W	|Pi 34	
01:49	|R 2246	|V 38.1	|I 30.4	|W 1157	|TH 66%	|B 41%	|Wh 40	|T 34.0	|Pa 1299W	|Pi 34	
01:50	|R 2408	|V 36.8	|I 23.0	|W 846	|TH 79%	|B 41%	|Wh 39	|T 34.1	|Pa 1294W	|Pi 34	
01:51	|R 2519	|V 36.5	|I 38.9	|W 1419	|TH 82%	|B 41%	|Wh 39	|T 34.3	|Pa 1295W	|Pi 34	
01:52	|R 2630	|V 36.1	|I 40.5	|W 1462	|TH 85%	|B 41%	|Wh 39	|T 34.3	|Pa 1297W	|Pi 34	
