00:01	|R 1600	|V 39.4	|I 12.0	|W 473	|TH 55%	|B 93%	|Wh 0	|T 24.4	|Pa 265W	|Pi 99	|ESP fails	
01:36	|R 2536	|V 36.8	|I 31.0	|W 1141	|TH 77%	|B 49%	|Wh 32	|T 33.5	|Pa 1144W	|Pi 47	
01:37	|R 2501	|V 36.7	|I 29.9	|W 1098	|TH 77%	|B 49%	|Wh 32	|T 33.5	|Pa 1144W	|Pi 47	
01:38	|R 2506	|V 36.9	|I 29.5	|W 1086	|TH 77%	|B 49%	|Wh 32	|T 33.6	|Pa 1143W	|Pi 47	
01:39	|R 2453	|V 36.8	|I 28.1	|W 1035	|TH 77%	|B 49%	|Wh 33	|T 33.7	|Pa 1142W	|Pi 47	
01:40	|R 2398	|V 37.1	|I 27.5	|W 1019	|TH 73%	|B 49%	|Wh 33	|T 33.8	|Pa 1141W	|Pi 47	
01:41	|R 2554	|V 36.6	|I 26.8	|W 981	|TH 79%	|B 49%	|Wh 33	|T 33.9	|Pa 1139W	|Pi 47	
01:42	|R 2528	|V 36.8	|I 30.1	|W 1108	|TH 79%	|B 49%	|Wh 34	|T 33.9	|Pa 1139W	|Pi 47	
01:43	|R 2609	|V 36.7	|I 31.4	|W 1151	|TH 79%	|B 49%	|Wh 34	|T 33.9	|Pa 1139W	|Pi 47	
01:44	|R 2641	|V 36.6	|I 32.0	|W 1171	|TH 79%	|B 49%	|Wh 34	|T 34.0	|Pa 1140W	|Pi 47	
01:45	|R 2640	|V 36.6	|I 32.1	|W 1173	|TH 80%	|B 48%	|Wh 34	|T 34.1	|Pa 1140W	|Pi 47	
01:46	|R 2613	|V 36.5	|I 32.0	|W 1168	|TH 71%	|B 48%	|Wh 35	|T 34.2	|Pa 1140W	|Pi 47	
01:47	|R 1396	|V 38.8	|I 9.7	|W 375	|TH 0%	|B 48%	|Wh 37	|T 34.1	|Pa 1133W	|Pi 48	
01:48	|R 75	|V 39.0	|I 0.0	|W 0	|TH 0%	|B 48%	|Wh 37	|T 34.0	|Pa 1133W	|Pi 48	
01:49	|R 2	|V 39.1	|I 0.0	|W 0	|TH 0%	|B 48%	|Wh 37	|T 33.8	|Pa 1133W	|Pi 48	
