01:23	|R 2553	|V 36.5	|I 38.7	|W 1411	|TH 80%	|B 51%	|Wh 30	|T 34.2	|Pa 1281W	|Pi 35	
01:24	|R 2463	|V 37.0	|I 32.4	|W 1198	|TH 79%	|B 51%	|Wh 30	|T 34.3	|Pa 1280W	|Pi 35	
01:25	|R 2530	|V 36.5	|I 34.4	|W 1254	|TH 80%	|B 51%	|Wh 30	|T 34.4	|Pa 1280W	|Pi 35	
01:26	|R 2432	|V 36.7	|I 36.2	|W 1327	|TH 79%	|B 51%	|Wh 31	|T 34.5	|Pa 1280W	|Pi 35	
01:27	|R 2472	|V 36.8	|I 33.3	|W 1227	|TH 78%	|B 51%	|Wh 31	|T 34.7	|Pa 1280W	|Pi 35	
01:28	|R 2490	|V 36.8	|I 33.0	|W 1213	|TH 79%	|B 51%	|Wh 32	|T 34.7	|Pa 1279W	|Pi 36	
01:29	|R 2508	|V 36.8	|I 35.0	|W 1289	|TH 80%	|B 48%	|Wh 32	|T 34.7	|Pa 1279W	|Pi 36	
01:30	|R 2564	|V 36.3	|I 36.7	|W 1332	|TH 80%	|B 48%	|Wh 32	|T 34.9	|Pa 1280W	|Pi 35	
01:31	|R 2573	|V 36.4	|I 36.7	|W 1337	|TH 80%	|B 48%	|Wh 32	|T 35.0	|Pa 1280W	|Pi 35	
01:32	|R 2533	|V 36.4	|I 36.1	|W 1312	|TH 80%	|B 48%	|Wh 33	|T 35.1	|Pa 1281W	|Pi 35	
01:33	|R 2550	|V 36.2	|I 36.8	|W 1333	|TH 82%	|B 48%	|Wh 33	|T 35.0	|Pa 1281W	|Pi 35	
01:34	|R 2510	|V 36.3	|I 38.8	|W 1409	|TH 80%	|B 48%	|Wh 33	|T 35.1	|Pa 1282W	|Pi 35	
01:35	|R 2594	|V 36.0	|I 38.3	|W 1378	|TH 83%	|B 48%	|Wh 33	|T 35.2	|Pa 1283W	|Pi 35	
